date,weekday,clocked_in,clocked_out
"8/15","F",,17
"8/18","M",,
"8/19","T",,
"8/20","W",,
"8/21","TH",,1845
"8/22","F",,
"8/25","M",,
"8/26","T",,
"8/27","W",,
"8/28","TH",,
"8/29","F",,
"9/02","T",,
"9/03","W",1631,
"9/04","TH",1629,
"9/05","F",,
"9/08","M",,
"9/09","T",1637,
"9/10","W",1636,104
"9/11","TH",1617,103
"9/12","F",1612,100
"9/15","M",1630,110
"9/16","T",1657,100
"9/17","W",1613,100
"9/18","TH",1631,100
"9/19","F",1627,126
"9/22","M",1618,59
"9/23","T",1620,100
"9/24","W",1626,101
"9/25","TH",1619,100
"9/26","F",1621,100
"9/29","M",1627,101
"9/30","T",1625,59
"10/01","W",1625,100
"10/02","TH",1623,101
"10/03","F",1620,100
"10/06","M",1629,101
"10/07","T",1632,100
"10/08","W",1627,59
"10/09","TH",1630,100
"10/10","F",1629,104
"10/13","M",1627,116
"10/14","T",1628,101
"10/15","W",1617,107
"10/16","TH",1625,100
"10/17","F",1622,100
"10/20","M",1618,100
"10/21","T",1621,108
"10/22","W",1629,100
"10/23","TH",1614,101
"10/24","F",1458,135
"10/27","M",1625,101
"10/28","T",1621,106
"10/29","W",1606,100
"10/30","TH",1622,104
"10/31","F",1618,46
"11/03","M",1632,109
"11/04","T",1632,109
"11/05","W",1629,101
"11/06","TH",1629,104
"11/07","F",1619,117
